Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link10,-4.13631420912979E-05,-0.0191929018320216,-0.000934471384548285,0,0,0,0.00545626966717254,3.90656535701645E-07,1.18790183759682E-12,1.90277812203964E-10,2.87363066949084E-07,-4.72036637424856E-09,4.48872382168779E-07,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link10.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link10.STL,,majeur3-4-1;majeur3-3-1,Origin_joint10,基准轴10,joint10,revolute,-0.000556162602004938,-0.0233433835200501,0.00905000000000003,3.13201348373222,0,3.11777188213839,link9,1,0,0,0,0,0,0,,,,,,,,
link11,-0.01150609793894,-0.000230929995469496,-4.18245563770462E-05,0,0,0,0.00348681302144883,1.23255776892674E-07,-1.13866849490182E-08,5.77366865966136E-12,1.43085735641429E-07,5.49907760139488E-12,1.42496193804571E-07,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link11.STL,,majeur3-5-1;majeur3-6-1,Origin_joint112,基准轴11,joint11,revolute,0,-0.0377690000000002,-0.00147757420956619,1.5707963267949,0.0616818060554339,1.5707963267949,link10,0,0,-1,0,0,0,0,,,,,,,,
link12,-0.000545194943393298,-3.96951161929487E-05,-0.0120887020507809,0,0,0,0.00288669834913063,1.04716623300317E-07,-4.06340880123057E-11,-8.82737089661855E-09,1.10125262282726E-07,-4.00201950317178E-11,8.09800159964932E-08,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link12.STL,,majeur3-2-1;Paramak ucu majeur3-1,Origin_joint12,基准轴12,joint12,revolute,-0.0242753227358126,-0.00141535766579842,0,1.57079632679489,0,1.68973914251987,link11,0,-1,0,0,0,0,0,,,,,,,,
link13,-0.00195294556814889,-0.0157161706682144,0.00719786695787998,0,0,0,0.00205073167630762,9.99576748413513E-08,-1.45086061301273E-09,1.92292176840907E-10,6.86843630490236E-08,-9.28396545453082E-10,8.82308310335863E-08,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link13.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link13.STL,,index_finger-1,Origin_joint13,基准轴13,joint13,revolute,0.0343998881180647,0.0289848669019026,-0.00855000000000001,0,0,-3.04164442478677,base_link,0,0,1,0,0,0,0,,,,,,,,
link14,0.000361622125436827,-0.0181923314310775,-0.000885767282551046,0,0,0,0.00464663223336151,2.98903770827463E-07,1.25893505380937E-12,1.46095578912672E-10,2.19871420508728E-07,-3.61137143521637E-09,3.43446620834283E-07,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link14.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link14.STL,,Parmak index3-4-1;Parmak index3-3-1,Origin_joint14,基准轴14,joint14,revolute,-0.00208488225397516,-0.0214568288789335,0.00905000000000133,-3.14159265358979,0,3.04473035163629,link13,-1,0,0,0,0,0,0,,,,,,,,
link15,0.00114967573599384,0.000624791890197039,-4.001472456161E-07,0,0,0,0.00296941639495185,9.24090289409626E-08,-6.59568532409876E-09,5.32157148721623E-12,1.11377840305935E-07,3.79179979877778E-12,1.0902879397869E-07,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link15.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link15.STL,,Parmak index3-5-1;Parmak index3-6-1,Origin_joint15,基准轴15,joint15,revolute,0.0003616395329709,-0.0478,-0.000900544274469324,1.5707963267949,0,1.57079632679489,link14,0,0,-1,0,0,0,0,,,,,,,,
link16,-0.000415444745001565,6.91706857757907E-05,0.0114624752859428,0,0,0,0.00245836197207567,8.02415892426217E-08,7.14202403966601E-11,6.5921310950533E-09,8.42606173440117E-08,-1.6916227591876E-10,6.18435926733427E-08,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link16.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link16.STL,,Parmak index3-2-1;Parmak ucu index3-1,Origin_joint16,基准轴16,joint16,revolute,-0.0110000000000001,0.00100000000000001,0,-1.56462447309586,0,1.5707963267949,link15,0,0.999980954171416,-0.00617181451629883,0,0,0,0,,,,,,,,
link17,-0.0102188523686454,-0.00860594587175618,5.21227582627138E-05,0,0,0,0.0108122577645189,6.25110125704295E-07,-7.24696809068636E-08,1.36126836415758E-09,1.81964504539584E-06,1.56332453341314E-08,1.98146489118379E-06,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link17.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link17.STL,,Thump-1;kama2-1;thumb-1,Origin_joint17,基准轴17,joint17,revolute,0.0323716059056896,-0.00269536169902099,0,-0.469823734728666,0,1.48772480012051,base_link,-1,0,0,0,0,0,0,,,,,,,,
link18,0.000508268558654448,-0.00108846108300083,-0.020783449749828,0,0,0,0.00270952456938325,1.2402063558425E-07,9.48659286656756E-09,6.97930770391491E-09,1.08025859847047E-07,-1.49795587659539E-08,1.43653012913404E-07,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link18.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link18.STL,,Thump1-1,Origin_joint18,基准轴18,joint18,revolute,-0.0120277094480687,-0.0105668183642785,0.000249999999999969,1.5707963267949,-0.0640210405893738,-2.42076146990602,link17,0,0,1,0,0,0,0,,,,,,,,
link19,-0.000249994055580228,-0.00265730892164549,-0.0173188938773362,0,0,0,0.00578743302710299,2.90220937124418E-07,-7.17048785508055E-13,-6.25150866776023E-14,3.72654050854172E-07,-5.60925046278575E-09,3.35646124516605E-07,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link19.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link19.STL,,Thump3-1;Thump4-1,Origin_joint19,基准轴19,joint19,revolute,0.00164538213704705,-0.00352853337978027,-0.0267566782738251,-0.762171171470992,0,-2.70526034059121,link18,1,0,0,0,0,0,0,,,,,,,,
link20,-0.000259404575636345,0.0133143686367911,-0.000414118534210278,0,0,0,0.00408614505827192,1.95950633542811E-07,-1.17382767998152E-11,1.41350421285617E-10,1.68774492657505E-07,1.39689973817672E-08,1.78615195820445E-07,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link20.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj3.SLDASM/meshes/link20.STL,,Thump6-1;Thump5-1,Origin_joint20,基准轴20,joint20,revolute,0,-0.0018910388177179,-0.028079724957189,-2.38192804458095,0,0,link19,1,0,0,0,0,0,0,,,,,,,,
