Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link10,-4.13677666774165E-05,-0.0191929101190234,-0.000934483060109417,0,0,0,0.0054562680725861,3.90655364490472E-07,1.70655842036596E-12,1.90577430671984E-10,2.87363176830839E-07,-4.71990521968074E-09,4.48870928227469E-07,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link10.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link10.STL,,majeur3-4-1;majeur3-3-1,Origin_joint10,基准轴10,joint10,continuous,-0.000556162602004955,-0.02334338352005,0.00905000000000004,-3.14159265358979,0,3.11777188213839,link9,1,0,0,,,,,,,,,,,,
link11,-0.0114470791263435,0.00118665812386455,-4.18055766376983E-05,0,0,0,0.00348681228230804,1.20774993749136E-07,-8.62031303928819E-09,6.63335903025E-12,1.45566420284713E-07,4.82545649890434E-12,1.42496219425109E-07,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link11.STL,,majeur3-5-1;majeur3-6-1,Origin_joint11,基准轴11,joint11,continuous,0,-0.0377690000000004,-0.00147757420956605,1.5707963267949,-0.0344768686245256,1.5707963267949,link10,0,0,-0.999999999999998,,,,,,,,,,,,
link12,-0.000438293000656842,-3.96946074236078E-05,-0.0120930859874715,0,0,0,0.00288670374518579,1.04871606154265E-07,-4.02284984140678E-11,-8.61611235074666E-09,1.10125974334027E-07,-4.03253046743262E-11,8.08256572102425E-08,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link12.STL,,majeur3-2-1;Paramak ucu majeur3-1,Origin_joint12,基准轴12,joint12,continuous,-0.0242650000000002,0.00158250000000003,0,1.57079632679491,0,1.566375530409,link11,0,-0.999999999999998,0,,,,,,,,,,,,
link13,-0.00195294557006497,-0.0157161692093838,0.00719786783744288,0,0,0,0.00205073145389777,9.99576448071782E-08,-1.45086484604469E-09,1.92285201773686E-10,6.86843571557749E-08,-9.2838297620759E-10,8.82308053481651E-08,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link13.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link13.STL,,index_finger-1,Origin_joint13,基准轴13,joint13,continuous,-0.0321569638699311,-0.109808743799717,-0.0270188141613376,1.5707963267949,-0.0817735467632935,0,base_link,0,0,1,,,,,,,,,,,,
link14,0.000361620829988168,-0.0181923123605247,-0.00088578719171753,0,0,0,0.00464662524385175,2.98902644269144E-07,1.33682633341544E-12,1.46020250071625E-10,2.19871286123852E-07,-3.61122516595562E-09,3.43447692321601E-07,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link14.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link14.STL,,Parmak index3-4-1;Parmak index3-3-1,Origin_joint14,基准轴14,joint14,continuous,-0.00208488225397547,-0.0214568288789367,0.00904999999999886,-2.98578372579267,0,3.04473035163628,link13,-1,0,0,,,,,,,,,,,,
link15,0.0011497,0.00062483,-3.8835E-07,0,0,0,0.0029694,9.2409E-08,-6.5954E-09,5.404E-12,1.1138E-07,3.7172E-12,1.0903E-07,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link15.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link15.STL,,Parmak index3-5-1;Parmak index3-6-1,Origin_joint15,基准轴15,joint15,fixed,0.000361639532973211,-0.0477999999999942,-0.000900544274473586,1.5707963267949,0,1.5707963267949,link14,0,0,0,,,,,,,,,,,,
link16,-0.00041544,1.5727E-06,-0.011463,0,0,0,0.0024584,8.024E-08,-3.0858E-11,-6.5924E-09,8.426E-08,-3.0907E-11,6.1843E-08,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link16.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link16.STL,,Parmak index3-2-1;Parmak ucu index3-1,Origin_joint16,基准轴16,joint16,continuous,-0.011,0.00100000000000003,0,1.5707963267949,0,1.57079632679488,link15,0,-1,0,,,,,,,,,,,,
link17,-0.011018,-0.011227,6.7972E-05,0,0,0,0.0069932,5.7229E-07,-6.2772E-08,1.3814E-09,7.8511E-07,1.5613E-08,9.5384E-07,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link17.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link17.STL,,Thump-1,Origin_joint17,基准轴17,joint17,continuous,-0.030306696891416,-0.118358743799717,0.00252343088146283,-2.04062006152356,1.48772480012052,3.14159265358979,base_link,-1,0,0,,,,,,,,,,,,
link18,0.000508270041586073,-0.00108845976845882,-0.0193674780845998,0,0,0,0.00270952392545733,1.24020613200127E-07,9.48661656020798E-09,6.97930102649747E-09,1.08025831261747E-07,-1.49795645246846E-08,1.43652964187033E-07,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link18.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link18.STL,,Thump1-1,Origin_joint18,基准轴18,joint18,continuous,-0.0132385365129055,-0.0116305778207174,0.000250000000000125,1.5707963267949,-0.0639847385500566,-2.42076146990601,link17,0,0,1,,,,,,,,,,,,
link19,-0.00024999,-0.0026573,-0.017319,0,0,0,0.0057874,2.9022E-07,-8.5E-13,-1.338E-13,3.7265E-07,-5.6095E-09,3.3565E-07,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link19.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link19.STL,,Thump3-1;Thump4-1,Origin_joint19,基准轴19,joint19,continuous,0.00164538213704693,-0.00352853337977996,-0.0253407062556731,-0.320231489354249,0,-2.70526034059121,link18,1,0,0,,,,,,,,,,,,
link20,-0.0002594,0.013314,-0.00041412,0,0,0,0.0040861,1.9595E-07,-1.1739E-11,1.4135E-10,1.6877E-07,1.3969E-08,1.7862E-07,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link20.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://El montaj.SLDASM/meshes/link20.STL,,Thump6-1;Thump5-1,Origin_joint20,基准轴20,joint20,continuous,0,-0.001891,-0.02808,-2.8239,0,0,link19,1,0,0,,,,,,,,,,,,
